userID,recipe,rating
U1077,Vegan Cashew Mayonnaise Recipe,2
U1077,Pui Shaker Chorchori Recipe - Mixed Vegetable Curry With Malabar Spinach,2
U1077,Fruit Chili Chutney - Andhra Red Chili Chutney Recipe,2
U1077,Gravel-til Bhakri Recipe (Cesme Crusted Barge Flobard),1
U1068,Eggless Thandai Mini Cheesecake Recipe,1
U1068,Coorg Style Kadumbuttu/Kadambuttu Recipe (Steamed Rice Balls Recipe),0
U1068,Thandai Panna Cotta With Strawberry And Mango Coulis Recipe,1
U1068, Green Beans Fry (Recipe In Hindi),0
U1068,Tamil Nadu Style Vengaya Sambar Recipe - Pearl Onion Sambar,1
U1067,Oatmeal Banana Mini Muffins Recipe,2
U1067,Kollu Vada Kurma Recipe (Horse Gram Fritters Spicy & Tangy Curry),1
U1067,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,1
U1067,Apple Pie Ice Cream Recipe,1
U1067,Buckwheat & Oat Waffle Recipe With Bananas & Vanilla Ice Cream,0
U1067,Whole Wheat Methi Garlic Naan Recipe  | Oven Method with yeast,1
U1103,Narikol Pitha Recipe - Sweetened Coconut Fritter,1
U1103,Stuffed Butter Recipe - Stuffed Spice Gravy,0
U1103,Parwal Ki Mithai Recipe -Pointed Gourd Sweet,1
U1103,Bitter Gourd Peel Puri Recipe,2
U1103,Apple Tea Latte Recipe,1
U1103,Shahi Paratha Recipe,1
U1103,Homemade Baked Donuts Recipe,1
U1103,Chinese Style Stir Fried Water Chestnut with Vegetables Recipe,2
U1107,Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,2
U1107,Vegetable Fried Brown Rice Recipe,2
U1107,Dahi Sabudana Recipe (Savory Tapioca Pearls Seasoned with Yogurt),2
U1044,Caprese Empanada Recipe With Tomato Basil And Mozzarella,2
U1044,Karwar NKGSB Style Bharli Vangi Recipe - Brinjal Curry,1
U1070,Punjabi Mixed Vegetable Kadai Recipe,2
U1070,Carrot and Capsicum Rice Recipe - Carrot and Capsicum Rice,1
U1070,Bajri Methi Na Vada Recipe - Pearl Millet Flour Fritters,1
U1031,Til Ke Ladoo Recipe - Sesame Ladoo Recipe,0
U1031,Saffron Cardamom Creme Brulée Recipe,0
U1031,Kathiawadi Dhokli Nu Shaak Recipe,0
U1082,Sabbakki Rava Idli Recipe- Sabudana Rava Idli,1
U1023,Kashmiri Style Yakhni Pulao With Chicken Recipe,0
U1023,Gajar Shalgam Ka Paani Wala Achar Recipe - Carrot And Turnip Pickle,0
U1082,Tofu and Shrimp Salad Recipe With Balsamic Dressing,0
U1082,Thalassery Chicken Biriyani Recipe,0
U1082,Puran Poli Recipe | Gujarati & Maharastrian | Sweet Spiced Stuffed Paratha With Jaggery,0
U1082,"Stuffed Bread Rolls With Pumpkin, Onion & Cheese Recipe",0
U1082,Chocolate Tart Recipe,0
U1082,Stuffed Mussels Recipe,0
U1060,Dried Kala Chana Masala Recipe - Ashtami Prasad,2
U1060,Maharashtrian Anarsa Recipe,2
U1060,Chilka Roti Recipe (Jharkhand Style Rice and Lentil Roti),2
U1060,"Peas, Corn & Paneer Savory Hand Pies Recipe",1
U1015,Karnataka Style Gasagase Payasa Recipe- Poppy seed Payasam,0
U1123,Soft Masala Dosa With Red Chutney Recipe,1
U1123,Chicken Shawarma Recipe,1
U1123,Amla Methi Sukhi Sabzi Recipe - Healthy Diabetic Sabzi,2
U1123, Malvani Masala Powder Recipe,1
U1123,Rice Paper Vegetarian Spring Rolls Recipe (Healthy Summer Rolls),1
U1123,Delicious & Cheesy Spaghetti Sandwich Recipe,1
U1123,Banana-Almond Butter Bread Recipe,1
U1123,Potato And Peas Curry Recipe In Coconut Milk Gravy,1
U1021,Chettinad Masala Powder Recipe,2
U1026,Savoury Oatmeal Porridge Recipe,2
U1021,Ginger Garlic Chicken Recipe,2
U1021,Indian Chicken Keema Sliders Recipe,2
U1044,Chettinad Idiyappam Recipe,0
U1083,Chettinad Vengaya Kosu Recipe (Spicy Curry from Chettinad Cuisine),2
U1083,Palak Paneer Bhurji Recipe -Spiced Cottage Cheese Scramble With Spinach Recipe,1
U1083,Chicken with Creamy Mushroom Sauce Recipe,2
U1108,Bhindi and Capsicum Sabzi Recipe,2
U1108,Chettinad Mixed Bean Adai Recipe,1
U1108,Manipuri Style Sana Thongpa Recipe-Paneer and Green Beans in Milk Gravy Recipe,2
U1108,Vegetarian Mexican Chili for Tacos Recipe - Made from Horse Gram,1
U1108,Delhi Style Fruit Chaat Recipe -Homemade Kulle Chaat Of North India,1
U1108,Jowar Dhani Chivda Recipe,2
U1108,Sabudana Khatti Meethi Namkeen Recipe,1
U1108,Sooji Manpasand Burfi Recipe - Semolina Coconut Fudge,2
U1108,Macher Chop Recipe (Bengali Style Fish Croquettes),1
U1108,Sorakkai Paruppu Kuzhambu Recipe - Tamil Nadu Style Lauki Curry,1
U1012,Milagu Jeera Curry Leaf Sadam Recipe,1
U1012,Chocolate And Oats Christmas Cookie Cake Recipe,2
U1012,Rabodi Ki Sabzi Recipe,2
U1093,Bloomed Potato Cheesy Muffins Recipe,2
U1093,Peanut Garlic Chutney Powder Recipe,2
U1093,Healthy Kale Pesto Pasta Recipe,2
U1093,Spicy Jalapeno Scrambled Eggs Recipe,2
U1093,Stuffed Mushrooms With Spinach & Parmesan Recipe,2
U1030,Braised Pork Belly Recipe,2
U1093,Chow Chow Milagu Kootu Recipe-Chayote Squash Cooked in Peppery Lentil Curry,2
U1030,Amritsari Fish Gravy Recipe,2
U1012,Kale Chane Ki Kadhi Recipe - Black Chickpea Kadhi,2
U1012,Kancha Peper Kofta Curry Recipe-Bengali Green Papaya Kofta Sabzi,2
U1030,Karigadab - Karnataka Style Karanji / Gujhiya Recipe,1
U1093,Soft Millet Taco Recipe Topped With Hummus & Veggies,2
U1030, Tomato Noodle Soup Recipe,0
U1093,Grilled Cheese Sandwich Recipe With Scrambled Eggs,1
U1030,Eggless Saffron Yogurt Mousse Recipe With Cardamom & Nuts,0
U1030,Herbed Potato And Green Olive Salad Recipe - A Delicious Summertime Salad,0
U1030,South Indian Grilled Fish With Spicy Fusion Sauce Recipe,0
U1030,Verkadalai Sundal- Peanut Sundal Recipe,0
U1066,"Roasted Vegetable Quesadilla Recipe With Zucchini, Carrots & Red Cabbage",1
U1066,Broccoli Peanut Oats Tikki Recipe,1
U1127,Curried Sweet Potato Mexican Fajita Recipe,2
U1127,Double Beans Sundal Recipe,2
U1127,Japanese Style Chicken Katsu Curry Recipe,2
U1127,Shakkarkandi ke Laddu | Sweet Potato Laddu Recipe,2
U1017,Gulab Jamun Recipe With Khoya,1
U1066,Chironji and Makhane Kheer Recipe,2
U1017,Steamed Chicken With Salad Recipe,2
U1017,Gujarati Style Bhakri Recipe-A Multigrain Flat Bread,0
U1066,Carrot Beans Thoran Recipe - Kerala Thoran For Onam Sadya,1
U1100,Pear and Apple Coleslaw Recipe,2
U1100,Sprouted Moong And Onion Fritters Recipe,2
U1066,Mughlai Style Chicken Changezi Recipe,1
U1100, Chicken Tikki Recipe,2
U1100,Aloo Dal Pakoras Recipe,2
U1100, Rabodi Ki Sabzi (Recipe In Hindi),2
U1100,Spicy Schezwan Indo-Chinese Egg Fried Rice Recipe,2
U1133,Ragi And Dill Nippattu Recipe,1
U1133,Chicken And Egg Slider Recipe With Cheesy Garlic Mayo,2
U1133,Moroccan Baked Fish Recipe,1
U1133,Mushroom Corn Masala Dosa Recipe Using Ragi Idli Dosa Batter,0
U1133,Andhra Style Makka Garelu Recipe (Corn Vada Recipe),2
U1133,Baked Mini Bread Cups Recipe,2
U1133,Mediterranean Tomato Basil Sandwich Recipe With Sweet Piquanté Pepper,1
U1133,Herbed Lentil Loaf Recipe Using Horsegram,1
U1133,Manga Ogre Recipe (Mango Rice),1
U1118,Paneer Matar Keema Recipe,0
U1072,Veppam Poo Rasam Recipe (Neem flower Rasam),1
U1072,Creamy Roasted Pumpkin Risotto Recipe,2
U1072,Mushroom Stroganoff Recipe,0
U1026,Railway Mutton Curry Recipe,1
U1026,Vazhaipoo Paruppu Usili Recipe - Banana Flower Paruppu Usili,0
U1026,Chettinad Prawn Curry Recipe,0
U1026,Homemade Vada Pav Recipe With Cheesy Aloo Vada,2
U1023,Kela Matar ki Sabzi Recipe - Raw Banana Green Peas Stir Fry,0
U1023,Vegetarian Pad Thai Recipe - Thai style Stir fried Vegetarian Rice Noodle Dish,2
U1080,Green Moong Sprout Salad Recipe With Vegetables- No Onion No Garlic,1
U1080,Chatpata Lobia Chaat Recipe - Healthy Black Eyed Bean Snack,2
U1080,Kerala Style Rich Creamy Egg Cashew Curry Recipe,1
U1080,Assamese Bilahi Boror Tenga Recipe (Sour Curry With Red Lentil Fritters),2
U1063,Ragi Oatmeal Kanji Recipe - Healthy Diabetic Porridge Recipe,2
U1063,Chinese Egg Drop Soup Recipe (With Vegetarian Option),2
U1063,Ellu Sadam Recipe - South Indian Style Til Pulao Recipe,1
U1063,Korean Style Gochujang Recipe (Hot Pepper Paste Recipe),1
U1063,Chaal Kopi Recipe - Bengali Style Cauliflower Stir Fry,1
U1080,Cumin Spiced Potato And Leek Soup Recipe,1
U1080,Green Beans Poriyal Recipe With Peanuts & Sesame Recipe,1
U1082,Southern Style Fried Chicken Recipe,0
U1082,Iyengar Style Whole Wheat & Oats Khara Biscuit Recipe (Savory Cookie Recipe),0
U1074,Perfect Christmas Roast Potatoes Recipe,2
U1074,Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,2
U1074,Chettinad Vegetable Pulav Recipe -,2
U1117,Blueberry-Mango Marble Froyo Bars Recipe,1
U1117,Goan Style Dhayanche Fov Recipe (Curd Poha Recipe),0
U1117,Amaranth Leaves Khichdi Recipe,1
U1117,Mushroom Curry Recipe,2
U1117,Karuveppilai Chutney Podi Recipe - Curry Leaves Chutney Podi,1
U1117,Chicken Wings With Bhuna Masala Recipe,1
U1118,Andhra Style Erra Kaaram Dosa Recipe (Spicy Red Chilli Chutney Dosa Recipe),0
U1118,Hash Brown With Spinach & Cheese Recipe,0
U1118,Baked Polenta Fries Recipe,2
U1118,Bread Halwa Recipe,0
U1118,Spiced Ghee Rice Recipe | Neychoru,0
U1118,Perfect Gooey Mozzarella Garlic Bread Recipe,0
U1020,Andhra Steel Tomato Knock Recipe (Tomato Chutney),1
U1020,Parsi Style Lagan Sara Istew Recipe - Rich Sweet Assorted Vegetable Curry,2
U1020,General Tso's Cauliflower Recipe,1
U1020, Arbi Ka Saag (Recipe In Hindi),2
U1051,Kerala Style Vedakkai Pachadi Recipe - Kerala Style Vendakkai Pachadi (Recipe in Hindi),1
U1051,Gluten Free Rajgira Barfi Recipe,1
U1051,Moryechi Xacuti Recipe (Goan Style Shark Curry),1
U1055,Basundi / Rabri Recipe,1
U1055,Dahi Achari Bhindi Recipe,2
U1055,Nutella Pancakes Recipe,2
U1055,Hyderabadi Vegetable Biryani Recipe - Hyderabadi Vegetable Biryani Recipe,2
U1055,Devil Chicken Recipe,2
U1083,Kashmiri Kesar Pulao - Saffron Fennel Rice Recipe,2
U1083,Andhra Style Potato Korma Recipe,0
U1055, Amrood Raita Recipe,2
U1083,Mullangi Mor Pachadi Recipe (Radish in spicy tempered Yogurt Gravy Recipe),1
U1083,No Churn Strawberry Ice Cream Recipe,2
U1083,Mexican Style Fresh Rajma Bean & Raw Mango Salad Recipe,2
U1083,Microwaved Egg-Omelette-In-A-Mug Recipe,1
U1055,Welsh Apple Cinnamon Scones Recipe,2
U1055,Mango Rice Recipe,2
U1055,Egg Lifafa Paratha Recipe,2
U1055,South Indian Onion Chutney Recipe,2
U1053,Beetroot And Celery Juice Recipe,1
U1053,Methi Malai Matar Recipe - Fenugreek Peas Curry With Cream,2
U1053,Andhra Style Pulses Recipes,1
U1053,Nadan Meen Kari Recipe (Kerala Style Fish Curry),2
U1035,Gingerbread Biscotti Recipe,1
U1035,Summer Fruit Tart Recipe,2
U1053,Basundi / Rabri Recipe,2
U1053,Eggless Peanut Butter Cookies Recipe,2
U1053,Ullikadala Pulusu Recipe | Spring Onion Curry,1
U1035,Bhoplyache Gharge Recipe (Maharashtrian Style Sweet Pumpkin Puris),1
U1053,Badam Milk Recipe - Almond Milk,2
U1053,Date and Tamarind Chutney Recipe - Khajur Imli Chutney,2
U1053,Veg Tunday Kabab Recipe,2
U1053,Custard Milk Recipe-Spanish Custard,2
U1053,Nawabi Mixed Vegetable Gravy Recipe,2
U1053,Chocolate And Oats Christmas Cookie Cake Recipe,2
U1064,Italian Style Potato And Cucumber Salad Recipe,1
U1081,Vegetarian Corn Chowder Soup Recipe,1
U1064,Mediterranean Pumpkin Kibbeh Recipe,1
U1081,Pomegranate Flavoured Stuffed Khandvi Recipe,1
U1081,Ringan Ravaiya Recipe (Parsi Style Stuffed Eggplant Recipe),0
U1064,Jello Poke Cake Recipe,0
U1081,Capsicum Masala Poriyal (Recipe in Hindi),0
U1064,Karwar Style Anasa Patal Bhaji Recipe-Pineapple cooked with coconut,1
U1064, Kambu Murukku (Recipe In Hindi),2
U1081,Chenakayi Erissery Recipe - Yam Erissery,1
U1081,Cauliflower Moong Dal Recipe - Cauliflower Moong Dal Recipe,0
U1081,Bhaji Miligai And Baby Potato Fry Recipe,1
U1081,Stuffed Dahi Vada Recipe,1
U1081,Dal Shorba Recipe - Indian Style Lentil Soup,0
U1081,Spinach Corn Pasta Recipe In Creamy White Sauce,1
U1081,Sweet & Spicy Totapuri Mango Chutney Recipe,0
U1001,"Green Peas, Potato and Paneer Tikki Recipe",1
U1001,Chicken Galauti Kebab Recipe,2
U1014,Kathiawadi Dhokli Nu Shaak Recipe,1
U1088,Moroccan Spiced Millet And Lentil Salad Recipe,0
U1088,Spicy Mixed Vegetables Rice Cutlet Recipe,2
U1014,Kalkandu (Kallusakkare) Pongal Recipe | Rice Pudding with Rock Candy,1
U1014,Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),2
U1088,Chicken Tikka Taco Recipe Topped With Cheesy Garlic Mayo,1
U1014,Bitter Gourd Chips Recipe,2
U1014,Gujarati Mooli Bajra Muthia Recipe - Radish And Bajra-Besan Dmplings,1
U1014,Orange Mocktail Recipe,2
U1088,Roasted Vegetable Flan Recipe In Herbed Sauce,2
U1088,Melon Salsa Recipe,1
U1088,Vegan Navratan Korma Recipe,2
U1014,Field Thepla Recipe,1
U1014,Black Forest Cake Recipe,1
U1088,Vellarikka Kosumalli Recipe- South Indian Style Cucumber Salad,0
U1088,Methi Chaman Recipe -Paneer In Dark Leafy Greens Based Gravy,2
U1088,Menthi Vankaya Recipe - Andhra Style Fenugreek Spiced Baingan,2
U1014,Shrimp Stir Fry With Cheesy Dip Mayo Recipe,2
U1088,Oat Olives and Broccoli Sandwich Spread Recipe,2
U1088,Pumpkin Vegetable Recipe with Panchh Phon Masala,1
U1088,Pineapple Cucumber Salad Recipe With Lemon Dressing,2
U1014,Whole Wheat Crepes With Roasted Vegetables And White Sauce Recipe,2
U1014,"Oats, Cranberry And Walnut Bread Recipe",0
U1056,Wheat Grass Rasam Recipe,2
U1056,Fenugreek cream cheese recipe,0
U1056,Broken Wheat Upma Or Dalia Khichdi Recipe for Babies & Toddlers,2
U1056,"Chickpea Salad with Cherry Tomatoes,Olives and Capsicum Recipe",2
U1056,Dhaba Mutton Recipe-Spicy Mutton Gravy,2
U1056,Watermelon Carrot Radish Juice Recipe,2
U1056,Bottle Gourd Ice Cream Recipe - Lauki Ice Cream,2
U1056,Cinnamon Sugar Focaccia Bread Recipe,2
U1056,Bavarian Mushroom Sauce Recipe,2
U1056,Malabar Style Dates Coriander Chutney Recipe,2
U1134,Pumpkin Thoran Recipe - South Indian Pumpkin Sabzi,1
U1134,Chikkudukaya Vepudu Recipe-Broad Beans Masala Poriyal,0
U1134,Baklava Recipe - Turkish Traditional Sweet,1
U1134,Mushroom Pasanda Recipe (Butter Fried Mushrooms in Tomato Almonds and Cream Gravy),1
U1134,Green Beans In Pomegranate Cream Sauce Recipe,2
U1134,Summer Squash Pasta Recipe,2
U1134,Masala Couscous Pulao Recipe,2
U1134,Vegetarian Potato Hash Recipe,2
U1134,Hash Brown With Spinach & Cheese Recipe,1
U1134,Pakistani Roasted Gosht Recipe,2
U1134,Khakhra Pizza Recipe With Cheese Spread & Roasted Vegetables,2
U1134,Egg Salad Recipe With Sun Dried Tomatoes And Scallions,0
U1134,Tandoori Paneer Darts Masala Recipe,2
U1134, No Onion No Garlic Cabbage Kofta Curry,1
U1134,Homemade Whole Wheat Pav Recipe / Ladi Pav,2
U1134,Aava Pettina Majjiga Pulusu Recipe - Andhra Style Mor Kuzhambu,2
U1106,Potoler Dolma Recipe (Bengali Style Stuffed Pointed Gourd Curry),1
U1126,Elephant Yam Raita (Recipe In Hindi),0
U1106,Meen Peera (Kerala Style Fish Recipe With Shredded Coconut),0
U1126,Lemon Rosemary Sauce Baked Penne Pasta Recipe,2
U1126,Badam Sharbat Recipe - Almond Milk With Nuts & Spices,0
U1106,Raw Mango And Spring Onion Chutney Recipe,2
U1126,Mexican Chicken Fajita Recipe,0
U1126,Avalakki Bella Usuli Recipe (Jaggery & Flattened Rice),2
U1126,Whole Wheat Carrot Cake Recipe,2
U1126,Bread Halwa Recipe,2
U1126,Karwar Style Lasani Kadhi Recipe - Kokum And Coconut Milk Curry,1
U1126,Masoor Dal Gassi Recipe - Masoor Dal Gassi Recipe,1
U1126,Bhoplyache Gharge Recipe (Maharashtrian Style Sweet Pumpkin Puris),2
U1044,Pull Apart Bread With Basil Pesto Recipe,2
U1124,Gajar Methi Poriyal Recipe - Carrot Fenugreek Stir Fry,1
U1044,Dhania Wale Aloo Recipe - Coriander Potato Dry,2
U1124,Oats Uttapam topped with Paneer Recipe,1
U1124,Cheese Stuffed Mashed Potato Balls Recipe (Non Fried),1
U1124,Coca Cola Bundt Cake Recipe,1
U1124,Nagli Rao Upma Recipe - Healthy Ragi Rao Upma Recipe,1
U1124,Sweet & Spicy Soy Dipping Sauce Recipe,1
U1124,Maharashtrian Green Chilli Thecha Recipe,1
U1124,Creamy Coconut Poached Pears Recipe,1
U1124,Ellu Chutney Recipe - Sesame Seeds Chutney Recipe,1
U1124,Restaurant Style Paneer Lababdar Recipe,0
U1018,Onion Mango Salad Recipe - Instant Mango Pickle,0
U1125,Gravel-til Bhakri Recipe (Cesme Crusted Barge Flobard),1
U1125,Soba Noodle Salad Recipe,0
U1125,Lauki Badi Ki Sabzi (Recipe In Hindi),1
U1018,Jharkhand Dal Peethi Recipe,2
U1125,Beetroot Hummus Recipe,2
U1125,Maharashtrian Green Moong Bhat Recipe - Sprouted Green Moong Pulao,1
U1125,Puran Poli Recipe | Gujarati & Maharastrian | Sweet Spiced Stuffed Paratha With Jaggery,1
U1119,Stuffed Butter Recipe - Stuffed Spice Gravy,2
U1119,Thai Style Mung Bean Fritter Recipe,0
U1119,Manganem Recipe - Goan Style Chana Dal Payasam,2
U1125,Gluten Free Samosa Recipe,1
U1119,"Summer Lettuce Salad with Cucumber, Tomato & Feta Recipe",2
U1125,Uttar Pradesh Style Shir Sewain Recipe,1
U1119,Thandai Panna Cotta With Strawberry And Mango Coulis Recipe,2
U1125,Rajasthani Gatte Ka Pulao Recipe,1
U1125,Chilli Cheese Mushroom Momo Recipe,2
U1125,Eggless Oreo Cake Recipe With Buttercream Frosting,1
U1018,Tomato Upma Recipe,1
U1018,Green Spinach & Oats Cutlet Recipe,1
U1018,Spicy Onion Tomato Masala Sandwich Recipe,1
U1018,Bengali Sita Bhog Recipe,1
U1018,Whole Wheat Waffles with Caramelised Bananas (Egg and Eggless Recipe),0
U1018,Malaysian Nasi Lemak Rice Recipe,1
U1018,Doi Shorshe Chingri - Prawn Mustard Curry Recipe,0
U1018,Fluffy Corn Muffins Recipe,1
U1076,Chilli Capsicum Macaroni Recipe,2
U1076,Royal Bread Gulab Jamun Recipe,1
U1076,Hariyali Chicken Tikka Recipe,0
U1076,Masoor Dal Makhni Recipe,2
U1022,Classic Banana Walnut Steamed Bread Recipe in Preethi Electric Pressure Cooker,0
U1076,Caramel Folded Plum Cake Recipe,2
U1022,Mirchi Lahsun Ka Chunda Recipe (Chilli Garlic Chunda),1
U1022,Palak Tovve Recipe - Palak Tovve Recipe,0
U1022,Cheesy Paneer Masala Curry Recipe,1
U1022,Zesty Fish Quiche Recipe Flavored With Cheesy Garlic Mayo,2
U1022,Potato Latkes Recipe,1
U1022,Avarekalu Payasa Recipe - Broad Beans Payasa,2
U1022,Chalimidi Recipe,2
U1022,Kabuli Chana Sundal Recipe - Chickpea Sundal Recipe,0
U1022,Drumstick Leaves Kadhi Pakora Recipe - Moringa Kadhi Pakora,2
U1022,S'mores Cake Recipe,2
U1022,Eggless Saffron Yogurt Mousse Recipe With Cardamom & Nuts,2
U1022,Healthy Bharwa Karela Recipe - Stuffed Bitter Gourd,1
U1022,Odisha Style Aloo Husband Recipe -Aloo Mash Sabeeji,2
U1094,Chicken Donne Biryani Recipe - Bangalore Shivaji Military Style,0
U1094,Maharashtrian Ambat Goda Dal Recipe,0
U1094,Rawalpindi Style Chole Recipe,0
U1094,Dum Ke Baingan Recipe,0
U1094,Bengali Langcha Recipe With Mawa,0
U1094,Nungu Payasam Recipe - Ice Apple/ Tender Palm Fruit Payasam,0
U1094,Carrot Semolina Phirni Recipe,0
U1094,Nolen Chawal Bhog Recipe (Rice Pudding With Nolen Jaggery),0
U1116,Goan Mushroom Xacuti Recipe,2
U1116,Grilled Cheese Chocolate Sandwich Recipe,0
U1116,Manipuri Style Chak Angouba Recipe - Vegetable Pulao Recipe,2
U1116,Besan Oats Ladoo Recipe,2
U1116,Coriander Semiya Recipe - Vermicelli Pulao,2
U1116,Fruit Pachadi Recipe,2
U1116,Chettinad Egg Paniyaram Recipe | Rise Paniyaram Recipe,0
U1116,Eggless Coffee Caramel Cake With Walnuts Recipe,0
U1116,Bendekaayi Gojju (Lady Finger In Coconut Curry) Recipe,2
U1116,Palak Pappu Recipe - Andhra Style Palakura Pappu - Dal Palak,1
U1116,Watermelon Cranberry Mocktail Recipe,2
U1105,Baked Jaggery Rasgulla Recipe,0
U1105,Cream Cheese Carrot Raisin Sandwich Recipe,0
U1105,Tripura Style Kosoi Bwtwi Recipe - Sauteed Tofu & Green Beans Stir Fry With Garlic,0
U1105,Rajgira Paneer Paratha Recipe (Navratri Fasting/Vrat Recipe),0
U1105,Mughlai Style Chicken Haleem Recipe,0
U1105,Chai Ka Masala Recipe - Homemade Spice Powder for Tea,0
U1105,Irish Cream Bundt Cake Recipe,0
U1105,Paneer Shashlik Sizzler Recipe,0
U1075,Methi Malai Matar Recipe - Fenugreek Peas Curry With Cream,1
U1075,Khakara Vegetable Pizza Recipe,2
U1075,Overnight Pumpkin French Toast Baked Casserole Recipe,2
U1007,Zucchini & Red Pepper Muffin Recipe,1
U1075,Vegan Chickpeas And Broccoli Curry Recipe,2
U1007,Mangalorean Manoli Bheeja Upkari Recipe - Ivy Gourd & Cashew Sabzi,1
U1075,Orange Rasam Recipe,1
U1075,Shandong  Style Sweet Potato In Spicy  Caramel Sauce Recipe,1
U1075, Malvani Masala Powder Recipe,2
U1075,Kalmi Kabab Recipe - Mughlai Style Chicken Tangdi Kebab,1
U1075,Beetroot Hummus Recipe,1
U1075,Soya Keema Aloo Paratha Recipe,2
U1075,Khaja Recipe (Layered Fritters Dunked In Sugar Syrup),1
U1075,Bandhakopir Ghonto Recipe (Bengali Style Cabbage Fry),1
U1115,Sesame Bread Patties Recipe (Bread Cutlets),2
U1115,Mint Chutney Pasta Recipe - Pasta In Pudina Chutney Sauce Recipe,2
U1115,Carrot And Broccoli Poriyal Recipe,0
U1115,Homemade Dhansak Masala Powder Recipe,1
U1115,Dhingri Matar Recipe,1
U1115,Kaanole Recipe (Maharashtrian Steamed Wheat Flour Sweet),2
U1115,Bengali Special Chocolate Sandesh Recipe (Chocolate Infused Cottage Cheese Dessert),1
U1115,Garlic Knot Recipe,2
U1072,One Pot Vegetable Biryani Recipe In Preethi Electric Pressure Cooker,0
U1024,Sprouted Mung Bean and Spinach Soup Recipe,1
U1024,Chettinad Masala Powder Recipe - Chettinad Masala Powder Recipe,1
